Algorithm,Best Parameters,Accuracy,Precision,Recall,F1-Score
KNN,K=1,0.9740740740740741,0.9742313105533656,0.9740740740740741,0.9739180949766135
Decision Tree,max_depth=8,0.8240740740740741,0.8309255737328523,0.8240740740740741,0.8251019875704655
SVM,"kernel=poly, C=10",0.9907407407407407,0.9908773607594361,0.9907407407407407,0.9907582304155514
